"baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj"
"AGTRAP" 0.21343471146367 -0.467599677514045 2.99739660891931 -0.156001937188631 0.876031494262161 NA
"C1orf167" 0 NA NA NA NA NA
"MTHFR" 1.3324983602343 0.494198158279647 1.10435390150536 0.447499807449406 0.654514226866468 NA
"CLCN6" 0.544511480719404 -1.64816504863576 2.47359727539379 -0.666302904288807 0.505217509603407 NA
"NPPA" 0 NA NA NA NA NA
"NPPB" 0 NA NA NA NA NA
"KIAA2013" 0.337639559861732 -0.660293485851237 2.99259207016999 -0.220642663740578 0.825370678766513 NA
"PLOD1" 0.520206503444079 0.359804895663185 2.30502514267266 0.156095865941832 0.875957456921655 NA
"MFN2" 1.98929838733202 -0.565165165387842 0.713147527965996 -0.792494039767308 0.428072665718652 0.63312799243542
"MIIP" 0.0479117574982927 -0.475176324378794 3.00299747696153 -0.158234007195898 0.874272407436073 NA
"TNFRSF8" 0.0298713766837896 -0.924483427858817 2.6653556621415 -0.346851807055286 0.728702653914551 NA
"TNFRSF1B" 0.711980396001121 -0.796972397098452 1.77488032263283 -0.449028808836099 0.65341087471265 NA
"VPS13D" 5.96833882661291 0.836029896721854 0.342471305223709 2.44116772403966 0.0146398536730676 0.0661176647281331
"DHRS3" 1.79374821993078 -3.05795102678547 0.948542189158245 -3.22384292626895 0.00126482756117535 0.00987786242816033
"AADACL4" 0 NA NA NA NA NA
"AADACL3" 0 NA NA NA NA NA
"CFAP107" 0 NA NA NA NA NA
"PRAMEF12" 0 NA NA NA NA NA
"PRAMEF1" 0 NA NA NA NA NA
"PRAMEF11" 0 NA NA NA NA NA
"HNRNPCL1" 0 NA NA NA NA NA
"PRAMEF2" 0 NA NA NA NA NA
"PRAMEF4" 0 NA NA NA NA NA
"PRAMEF10" 0 NA NA NA NA NA
"PRAMEF7" 0 NA NA NA NA NA
"PRAMEF6" 0 NA NA NA NA NA
"PRAMEF27" 0 NA NA NA NA NA
"HNRNPCL3" 0 NA NA NA NA NA
"PRAMEF25" 0 NA NA NA NA NA
"HNRNPCL2" 0 NA NA NA NA NA
"PRAMEF26" 0 NA NA NA NA NA
"HNRNPCL4" 0 NA NA NA NA NA
"PRAMEF9" 0 NA NA NA NA NA
"PRAMEF13" 0 NA NA NA NA NA
"PRAMEF18" 0 NA NA NA NA NA
"PRAMEF5" 0 NA NA NA NA NA
"PRAMEF8" 0 NA NA NA NA NA
"PRAMEF33" 0 NA NA NA NA NA
"PRAMEF15" 0 NA NA NA NA NA
"PRAMEF14" 0 NA NA NA NA NA
"PRAMEF19" 0 NA NA NA NA NA
"PRAMEF17" 0 NA NA NA NA NA
"PRAMEF20" 0 NA NA NA NA NA
"LRRC38" 0 NA NA NA NA NA
"PDPN" 0.202521336081254 0.121034361419396 2.99608007579045 0.0403975722803283 0.967776165710658 NA
"PRDM2" 2.23270563305181 1.49980702437961 0.703007453055878 2.13341553899628 0.0328906534672485 0.120063250062776
"KAZN" 0.40348516350863 -1.61274624835155 2.98642274795424 -0.540026106302705 0.589179028712054 NA
"TMEM51" 0.0831108349973432 -0.789059150514016 2.99996751418236 -0.2630225650057 0.792533186921255 NA
"FHAD1" 0.0515656230179831 -0.434656416390058 2.99886852111267 -0.144940137698597 0.884758135720606 NA
"EFHD2" 0.625542573298755 0.573337857440691 2.39468220089464 0.239421271526759 0.810778937282104 NA
"CTRC" 0 NA NA NA NA NA
"CELA2A" 0 NA NA NA NA NA
"CELA2B" 0 NA NA NA NA NA
"CASP9" 0.337181254658727 0.301790291510235 2.91448941877201 0.103548254307058 0.917527853891264 NA
"DNAJC16" 1.42959656452459 0.974447130523483 0.930733460201342 1.0469669053401 0.29511484213454 NA
"AGMAT" 0.0896667486335217 -0.041212858962591 3.00068831666505 -0.0137344684330276 0.989041824204589 NA
"DDI2" 2.65229672991301 0.440419014006228 0.536519847070195 0.820881121940315 0.411713985076576 0.617171103601613
"RSC1A1" 0 NA NA NA NA NA
"PLEKHM2" 0.928092801133823 -0.126834930357735 1.27873063101718 -0.0991881536902283 0.920988880460414 NA
"SLC25A34" 0 NA NA NA NA NA
"TMEM82" 0 NA NA NA NA NA
"FBLIM1" 0.141504561208973 0.358995205245986 2.99645640527977 0.119806583741193 0.904636366441472 NA
"UQCRHL" 0.154987889547489 -0.0624811941822092 2.99769085387138 -0.0208431079881095 0.983370809996635 NA
"SPEN" 4.01914408784656 0.348991136026267 0.4207652330328 0.829420086614099 0.406866739187061 0.614094720855911
"ZBTB17" 0.362052799179799 -0.74732833862599 2.91821830584723 -0.256090621160373 0.797880863801466 NA
"SRARP" 0.0635959738225466 -0.381194905150283 2.99811874113121 -0.127144699081016 0.898825873767499 NA
"HSPB7" 1.12556069553714 -3.00406077117708 1.77780118236088 -1.6897619379394 0.0910735083137522 NA
"CLCNKA" 0.0400535294444048 -0.939749402831953 3.002612487888 -0.312977251184671 0.754297945450897 NA
"CLCNKB" 0.0270759235989628 -0.490034330666628 2.55292878600998 -0.191949862977773 0.847781478578266 NA
"FAM131C" 0 NA NA NA NA NA
"EPHA2" 0.1151445354561 -1.24882458502425 2.99971490561799 -0.416314424642624 0.677179938723929 NA
"ARHGEF19" 0.0754849608711238 -0.236415682481254 3.00292182301699 -0.0787285505300737 0.937248535917104 NA
"CPLANE2" 0.0915713182663498 -0.0316351052052093 3.0012342146017 -0.0105406985737059 0.991589895084229 NA
"FBXO42" 0.78454210776847 0.868805108743835 1.63702736647768 0.530721188011172 0.595612001174165 NA
"SZRD1" 1.09475285064525 0.335999694796085 1.01464237986105 0.33115085813989 0.740530537449836 NA
"SPATA21" 0 NA NA NA NA NA
"NECAP2" 0.760336319573159 -0.13507889424602 1.58248042666924 -0.0853589668280007 0.931976013785001 NA
"NBPF1" 0.0275830333715264 -0.479769708012658 2.57489139010072 -0.186326192187038 0.852188968710005 NA
"CROCC" 0.116231931236831 0.156328413417247 2.99842743050512 0.0521368007198731 0.958419690093876 NA
"MFAP2" 0.0615729742663421 -0.256440480493198 3.00194595808181 -0.0854247491707209 0.931923718081478 NA
"ATP13A2" 0.543850465812926 0.954088782175913 2.08441574970302 0.457724800012593 0.64715016835187 NA
"ENSG00000288636" 0 NA NA NA NA NA
"SDHB" 0.808473724657753 -0.250888815620727 1.45416443163406 -0.172531255862722 0.863019891148714 NA
"PADI2" 0.320936222282871 1.1183525678803 2.98546775364669 0.374598776528152 0.707958883079246 NA
"PADI1" 0 NA NA NA NA NA
"PADI3" 0 NA NA NA NA NA
"PADI4" 0 NA NA NA NA NA
"PADI6" 0 NA NA NA NA NA
"RCC2" 1.35519844631284 1.97110843198385 1.06067140004781 1.85835917881354 0.0631180251347413 NA
"ARHGEF10L" 0.725306636210696 -0.665993300184008 1.52275199652029 -0.437361633217951 0.661849103978301 NA
"ACTL8" 0 NA NA NA NA NA
"IGSF21" 0 NA NA NA NA NA
"KLHDC7A" 0.112376572814583 -0.17319536815892 2.99712475156173 -0.0577871735464705 0.953918155132826 NA
"PAX7" 0 NA NA NA NA NA
"TAS1R2" 0 NA NA NA NA NA
"ALDH4A1" 0.898332441752258 -2.23437101097815 1.64352307597243 -1.3595008452535 0.173987934824692 NA
"IFFO2" 1.09578156341002 0.986376455300026 1.14411479040136 0.862130673928268 0.388615613577071 NA
"UBR4" 8.98186010436528 0.358347286639017 0.290045776511874 1.23548527735362 0.216649952459185 0.419894418838062
"EMC1" 1.76541087179214 0.519287452662333 0.808378097004299 0.642381893555401 0.52062525312171 0.704076769890224
"MRTO4" 0.224144189820266 -0.553000541315795 2.99021474208256 -0.184936731644448 0.853278660203639 NA
"AKR7L" 0.0211986579408489 -0.490752374103998 2.29617758109025 -0.213725792876605 0.830760896249665 NA
"AKR7A3" 0.0637306215809179 -0.246639972020977 3.0024556156863 -0.0821460842692925 0.93453054698161 NA
"AKR7A2" 0.505384442117944 -0.0144593185535899 1.84606927201075 -0.00783248969733444 0.993750641295415 NA
"SLC66A1" 0.0211986579408489 -0.490752374103998 2.29617758109025 -0.213725792876605 0.830760896249665 NA
"CAPZB" 4.0498008817152 0.873797459253703 0.427180125729577 2.04550119873052 0.0408054711479568 0.140007464610127
"MICOS10" 0.350427056850377 -1.40713948048998 2.9164017132444 -0.482491651990077 0.629456727263717 NA
"NBL1" 1.07592868984831 0.544451733920822 1.27026212455771 0.428613687990101 0.668204382565216 NA
"MICOS10-NBL1" 0 NA NA NA NA NA
"HTR6" 0 NA NA NA NA NA
"TMCO4" 0.218684073484035 0.251602754194705 2.9937798035891 0.0840418369758092 0.933023168312157 NA
"RNF186" 0 NA NA NA NA NA
